UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS SUMATERA UTARA,121031,SOSIOLOGI,Sarjana,39,329,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121032,ILMU KESEJAHTERAAN SOSIAL,Sarjana,39,448,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121033,ILMU ADMINISTRASI NEGARA,Sarjana,39,799,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121034,ILMU KOMUNIKASI,Sarjana,39,1.660,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121035,MANAJEMEN,Sarjana,80,2.134,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121036,EKONOMI PEMBANGUNAN,Sarjana,56,842,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121037,ILMU POLITIK,Sarjana,39,467,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121038,SASTRA INDONESIA,Sarjana,40,289,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121039,SASTRA DAERAH UNTUK SASTRA MELAYU,Sarjana,24,35,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121040,SASTRA INGGRIS,Sarjana,69,789,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121041,SASTRA DAERAH UNTUK SASTRA BATAK,Sarjana,32,39,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121042,SASTRA ARAB,Sarjana,44,138,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121043,ETNO MUSIKOLOGI,Sarjana,32,75,Etnomusikologi
UNIVERSITAS SUMATERA UTARA,121044,SASTRA JEPANG,Sarjana,32,287,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121045,ILMU PERPUSTAKAAN,Sarjana,32,445,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121046,SASTRA CINA,Sarjana,16,97,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121047,ILMU ADMINISTRASI NIAGA/BISNIS,Sarjana,36,925,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121048,PSIKOLOGI,Sarjana,80,2.401,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121049,KEWIRAUSAHAAN,Sarjana,16,385,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121064,PERBANKAN DAN KEUANGAN,Sarjana Terapan,40,(Prodi Baru),Tidak Ada
UNIVERSITAS SUMATERA UTARA,121065,ADMINISTRASI PERKANTORAN DIGITAL,Sarjana Terapan,30,(Prodi Baru),Tidak Ada
UNIVERSITAS SUMATERA UTARA,121067,STATISTIKA,Sarjana Terapan,40,(Prodi Baru),Tidak Ada
UNIVERSITAS SUMATERA UTARA,121068,KIMIA TERAPAN,Sarjana Terapan,32,(Prodi Baru),Tidak Ada
UNIVERSITAS SUMATERA UTARA,121069,MANAJEMEN BISNIS PARIWISATA,Sarjana Terapan,40,(Prodi Baru),Tidak Ada
UNIVERSITAS SUMATERA UTARA,121050,METROLOGI DAN INSTRUMENTASI,Diploma Tiga,34,17,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121053,PERPUSTAKAAN,Diploma Tiga,20,39,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121054,ADMINISTRASI PERPAJAKAN,Diploma Tiga,40,387,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121056,BAHASA JEPANG,Diploma Tiga,20,41,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121058,ANALIS FARMASI DAN MAKANAN,Diploma Tiga,20,146,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121059,BAHASA INGGRIS,Diploma Tiga,40,63,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121060,TEKNIK INFORMATIKA,Diploma Tiga,40,462,Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS NEGERI MEDAN,122001,PENDIDIKAN MATEMATIKA,Sarjana,110,546,Tidak Ada
UNIVERSITAS NEGERI MEDAN,122002,PENDIDIKAN BIOLOGI,Sarjana,122,451,Tidak Ada
UNIVERSITAS NEGERI MEDAN,122003,PENDIDIKAN FISIKA,Sarjana,122,191,Tidak Ada
UNIVERSITAS NEGERI MEDAN,122004,PENDIDIKAN KIMIA,Sarjana,164,209,Tidak Ada
UNIVERSITAS NEGERI MEDAN,122005,PENDIDIKAN TEKNIK BANGUNAN,Sarjana,79,78,Tidak Ada
UNIVERSITAS NEGERI MEDAN,122006,PENDIDIKAN TEKNIK MESIN,Sarjana,79,151,Tidak Ada
UNIVERSITAS NEGERI MEDAN,122007,PENDIDIKAN TEKNIK ELEKTRO,Sarjana,68,104,Tidak Ada
UNIVERSITAS NEGERI MEDAN,122008,KIMIA,Sarjana,63,121,Tidak Ada
UNIVERSITAS NEGERI MEDAN,122009,BIOLOGI,Sarjana,95,242,Tidak Ada
UNIVERSITAS NEGERI MEDAN,122010,ILMU KEOLAHRAGAAN,Sarjana,139,133,Pendidikan Jasmani dan Olahraga
